Taxon_orig,Taxon_orig.authority,中文名,拉丁名,科名,大类,保护等级,href,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,resolved_match_type,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_status,clonality,clonal_means,clonal_type,source,refs,c_score,s_score,r_score,n.prov,invasion_level
Waltheria indica,L.,蛇婆子,Waltheria indica,锦葵科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/222,Exact (with author),FALSE,1,0,2465410,Waltheria indica,L.,Species,Accepted,NA,320781-2,2465410,0,2,Exact (with author),2465410,320781-2,Species,Accepted,Malvaceae,NA,Waltheria,NA,indica,NA,NA,NA,L.,NA,Sp. Pl.,: 673,-1753,NA,Trop. & Subtrop. America,subshrub or shrub,seasonally dry tropical,Waltheria indica,L.,2465410,NA,NA,NA,2465372,320781-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Abutilon theophrasti,Medikus,苘麻,Abutilon theophrasti,锦葵科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/228,Exact (without author),FALSE,1,0,2611008,Abutilon theophrasti,Medik.,Species,Accepted,NA,1044174-2,2611008,2,5,Exact (without author),2611008,1044174-2,Species,Accepted,Malvaceae,NA,Abutilon,NA,theophrasti,NA,NA,NA,Medik.,NA,Malvenfam.,: 28,-1787,NA,C. Asia to China,annual,subtropical,Abutilon theophrasti,Medik.,2611008,2587884,L.,NA,2610430,1044174-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,65.79119430564695,14.03667405186989,20.17213164248315,NA,3
Cleome rutidosperma,DC.,皱子白花菜,Cleome rutidosperma,白花菜科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/231,Exact (with author),FALSE,1,0,2727573,Cleome rutidosperma,DC.,Species,Accepted,NA,147293-1,2727573,0,3,Exact (with author),2727573,147293-1,Species,Accepted,Cleomaceae,NA,Cleome,NA,rutidosperma,NA,NA,NA,DC.,NA,Prodr.,0.209027778,-1824,NA,"Cape Verde, Trop. Africa, Indian Subcontinent to Myanmar",annual,seasonally dry tropical,Cleome rutidosperma,DC.,2727573,NA,NA,NA,2727141,147293-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,7,3
Rorippa amphibia,Besser,两栖蔊菜,Rorippa amphibia,十字花科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/237,Exact (without author),FALSE,1,0,2417224,Rorippa amphibia,(L.) Besser,Species,Accepted,NA,288622-1,2417224,5,6,Exact (without author),2417224,288622-1,Species,Accepted,Brassicaceae,NA,Rorippa,NA,amphibia,NA,NA,L.,Besser,NA,Enum. Pl. Volh.,: 27,-1821,NA,"Europe to Siberia and NW. Iran, Algeria",perennial,temperate,Rorippa amphibia,(L.) Besser,2417224,2476099,NA,NA,2417180,288622-1,NA,N,Matched to an accepted name,clonal,Root-splitter,belowground,manually added,NA,70.21880196640032,0,29.781198033599672,NA,3
Dysphania pumilio,(R. Br.) Mosyakin & Clemants,铺地藜,Chenopodium pumilio,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/258,Exact (without author),FALSE,1,0,2780242,Dysphania pumilio,(R.Br.) Mosyakin & Clemants,Species,Accepted,NA,1012195-2,2780242,1,24,Exact (without author),2780242,1012195-2,Species,Accepted,Amaranthaceae,NA,Dysphania,NA,pumilio,NA,NA,R.Br.,Mosyakin & Clemants,NA,Ukrayins'k. Bot. Zhurn.,59: 382,-2002,NA,Australia,annual or perennial,subtropical,Dysphania pumilio,(R.Br.) Mosyakin & Clemants,2780242,2717722,NA,NA,2780222,1012195-2,NA,N,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,3,3
Amaranthus albus,L.,白苋,Amaranthus albus,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/263,Exact (with author),FALSE,1,0,2632650,Amaranthus albus,L.,Species,Accepted,NA,327388-2,2632650,0,2,Exact (with author),2632650,327388-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,albus,NA,NA,NA,L.,NA,"Syst. Nat., ed. 10.",0.963888889,-1759,NA,S. U.S.A. to NE. Mexico,annual,temperate,Amaranthus albus,L.,2632650,NA,NA,NA,2632636,327388-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Amaranthus cruentus,L.,老鸦谷,Amaranthus cruentus,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/267,Exact (with author),FALSE,1,0,2632793,Amaranthus cruentus,L.,Species,Accepted,NA,10631-2,2632793,0,2,Exact (with author),2632793,10631-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,cruentus,NA,NA,NA,L.,NA,"Syst. Nat., ed. 10.",0.964583333,-1759,NA,C. Mexico to Nicaragua,annual,seasonally dry tropical,Amaranthus cruentus,L.,2632793,NA,NA,NA,2632636,10631-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,60.70388712474431,0,39.296112875255666,30,3
Amaranthus dubius,Mart. ex Thell.,假刺苋,Amaranthus dubius,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/268,Exact (with author),FALSE,1,0,2632814,Amaranthus dubius,Mart. ex Thell.,Species,Synonym,NA,59493-1,2633130,0,15,Exact (with author),2633130,59693-1,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,tortuosus,NA,NA,NA,Hornem.,NA,Hort. Bot. Hafn.,", Suppl.: 107",-1819,NA,Mexico to Trop. America,annual,seasonally dry tropical,Amaranthus tortuosus,Hornem.,2633130,NA,NA,NA,2632636,59693-1,NA,N,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,6,3
Amaranthus hypochondriacus,L.,千穗谷,Amaranthus hypochondriacus,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/270,Exact (with author),FALSE,1,0,2632908,Amaranthus hypochondriacus,L.,Species,Accepted,NA,10665-2,2632908,0,2,Exact (with author),2632908,10665-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,hypochondriacus,NA,NA,NA,L.,NA,Sp. Pl.,: 991,-1753,NA,C. U.S.A. to Mexico,annual,seasonally dry tropical,Amaranthus hypochondriacus,L.,2632908,NA,NA,NA,2632636,10665-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,14,3
Amaranthus polygonoides,L.,合被苋,Amaranthus polygonoides,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/272,Exact (with author),FALSE,1,0,2633039,Amaranthus polygonoides,L.,Species,Accepted,NA,316348-2,2633039,0,2,Exact (with author),2633039,316348-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,polygonoides,NA,NA,NA,L.,NA,Pl. Jamaic. Pug.,: 27,-1759,NA,"SC. & SE. U.S.A. to Mexico, Caribbean",annual,seasonally dry tropical,Amaranthus polygonoides,L.,2633039,NA,NA,NA,2632636,316348-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,16,3
Amaranthus tuberculatus,(Moq.) J.D.Sauer,糙果苋,Amaranthus tuberculatus,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/278,Exact (with author),FALSE,1,0,2633140,Amaranthus tuberculatus,(Moq.) J.D.Sauer,Species,Accepted,NA,59699-1,2633140,0,16,Exact (with author),2633140,59699-1,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,tuberculatus,NA,NA,Moq.,J.D.Sauer,NA,Madro?o,13:18,-1955,NA,C. & EC. U.S.A.,annual,temperate,Amaranthus tuberculatus,(Moq.) J.D.Sauer,2633140,2618232,NA,NA,2632636,59699-1,NA,N,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,2,3
Alternanthera paronychioides,A. St.-Hil.,华莲子草,Alternanthera paronychioides,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/280,Exact (without author),TRUE,1,0,2631325,Alternanthera paronychioides,A.St.-Hil.,Species,Accepted,NA,327343-2,2631325,1,8,Exact (without author),2631325,327343-2,Species,Accepted,Amaranthaceae,NA,Alternanthera,NA,paronychioides,NA,NA,NA,A.St.-Hil.,NA,Voy. Distr. Diam.,2(2): 43,-1833,NA,Trop. & Subtrop. America,subshrub or helophyte,seasonally dry tropical,Alternanthera paronychioides,A.St.-Hil.,2631325,NA,NA,NA,2631033,327343-2,NA,N,Matched to an accepted name,clonal,Stolon,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,NA,3
Alternanthera pungens,Kunth,刺花莲子草,Alternanthera pungens,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/282,Exact (with author),FALSE,1,0,2631391,Alternanthera pungens,Kunth,Species,Accepted,NA,327342-2,2631391,0,5,Exact (with author),2631391,327342-2,Species,Accepted,Amaranthaceae,NA,Alternanthera,NA,pungens,NA,NA,NA,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp.,0.226388889,-1818,NA,Mexico to Trop. America,subshrub,subtropical,Alternanthera pungens,Kunth,2631391,NA,NA,NA,2631033,327342-2,NA,N,Matched to an accepted name,clonal,Stolon,aboveground,PIER,wang et al. 2016,35.69268056933945,24.78834269559261,39.51897673506793,16,3
Gomphrena celosioides,Mart.,银花苋,Gomphrena celosioides,苋科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/283,Exact (with author),FALSE,1,0,2829071,Gomphrena celosioides,Mart.,Species,Accepted,NA,60397-1,2829071,0,5,Exact (with author),2829071,60397-1,Species,Accepted,Amaranthaceae,NA,Gomphrena,NA,celosioides,NA,NA,NA,Mart.,NA,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.,0.750694444,-1826,NA,Ecuador to N. Argentina,annual or subshrub,seasonally dry tropical,Gomphrena celosioides,Mart.,2829071,NA,NA,NA,2829018,60397-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,12,3
Richardia brasiliensis,Gomes,巴西墨苜蓿,Richardia brasiliensis,茜草科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/304,Exact (with author),FALSE,1,0,178461,Richardia brasiliensis,Gomes,Species,Accepted,NA,764657-1,178461,0,5,Exact (with author),178461,764657-1,Species,Accepted,Rubiaceae,NA,Richardia,NA,brasiliensis,NA,NA,NA,Gomes,NA,Mem. Ipecacuanha Bras.,: 31,-1801,NA,Ecuador to N. Argentina,annual or subshrub,seasonally dry tropical,Richardia brasiliensis,Gomes,178461,NA,NA,NA,178449,764657-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,7,3
Mitracarpus hirtus,(L.) DC.,盖裂果,Mitracarpus hirtus,茜草科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/308,Exact (with author),FALSE,1,0,128746,Mitracarpus hirtus,(L.) DC.,Species,Accepted,NA,756228-1,128746,0,8,Exact (with author),128746,756228-1,Species,Accepted,Rubiaceae,NA,Mitracarpus,NA,hirtus,NA,NA,L.,DC.,NA,Prodr.,0.563888889,-1830,NA,Mexico to Trop. America,annual,seasonally dry tropical,Mitracarpus hirtus,(L.) DC.,128746,193603,NA,NA,128704,756228-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,82.09489173993418,2.3732122330487417,15.531896027017082,7,3
Ipomoea alba,L.,月光花,Ipomoea alba,旋花科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/322,Exact (with author),FALSE,1,0,480621,Ipomoea alba,L.,Species,Accepted,NA,129128-2,480621,0,2,Exact (with author),480621,129128-2,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,alba,NA,NA,NA,L.,NA,Sp. Pl.,: 161,-1753,NA,Trop. & Subtrop. America,climbing herbaceous tree or liana,seasonally dry tropical,Ipomoea alba,L.,480621,NA,NA,NA,480428,129128-2,NA,Y,Matched to an accepted name,clonal,Adventitious root,belowground,PIER,wang et al. 2016,NA,NA,NA,17,3
Ipomoea indica,(Burm.) Merr.,变色牵牛,Ipomoea indica,旋花科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/326,Exact (with author),FALSE,1,0,481433,Ipomoea indica,(Burm.) Merr.,Species,Accepted,NA,269086-1,481433,0,13,Exact (with author),481433,269086-1,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,indica,NA,NA,Burm.,Merr.,NA,Interpr. Herb. Amboin.,: 445,-1917,NA,Trop. & Subtrop. America,climbing perennial,seasonally dry tropical,Ipomoea indica,(Burm.) Merr.,481433,484355,NA,NA,480428,269086-1,NA,Y,Matched to an accepted name,clonal,Stem fragment,aboveground,PIER,wang et al. 2016,NA,NA,NA,6,3
Ipomoea lacunosa,L.,瘤梗甘薯,Ipomoea lacunosa,旋花科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/327,Exact (with author),FALSE,1,0,481514,Ipomoea lacunosa,L.,Species,Accepted,NA,269155-1,481514,0,2,Exact (with author),481514,269155-1,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,lacunosa,NA,NA,NA,L.,NA,Sp. Pl.,: 161,-1753,NA,C. & E. U.S.A.,climbing annual,temperate,Ipomoea lacunosa,L.,481514,NA,NA,NA,480428,269155-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Ipomoea quamoclit,L.,茑萝,Ipomoea quamoclit,旋花科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/331,Exact (with author),FALSE,1,0,482262,Ipomoea quamoclit,L.,Species,Accepted,NA,326361-2,482262,0,2,Exact (with author),482262,326361-2,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,quamoclit,NA,NA,NA,L.,NA,Sp. Pl.,: 159,-1753,NA,Mexico to C. America,climbing annual,seasonally dry tropical,Ipomoea quamoclit,L.,482262,NA,NA,NA,480428,326361-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,20,3
Nicandra physalodes,(L.) Gaertn.,假酸浆,Nicandra physalodes,茄科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/335,Exact (with author),FALSE,1,0,2383030,Nicandra physalodes,(L.) Gaertn.,Species,Accepted,NA,816832-1,2383030,0,12,Exact (with author),2383030,816832-1,Species,Accepted,Solanaceae,NA,Nicandra,NA,physalodes,NA,NA,L.,Gaertn.,NA,Fruct. Sem. Pl.,0.247916667,-1791,NA,Peru to NW. Argentina,annual,seasonally dry tropical,Nicandra physalodes,(L.) Gaertn.,2383030,2665975,NA,NA,2383018,816832-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,67.98715445997202,1.7367526172824816,30.2760929227455,31,3
Solanum americanum,Mill.,少花龙葵,Solanum americanum,茄科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/341,Exact (with author),FALSE,1,0,3031457,Solanum americanum,Mill.,Species,Accepted,NA,238279-2,3031457,0,5,Exact (with author),3031457,238279-2,Species,Accepted,Solanaceae,NA,Solanum,NA,americanum,NA,NA,NA,Mill.,NA,"Gard. Dict., ed. 8.",: n.° 5,-1768,NA,New World,annual or perennial,temperate,Solanum americanum,Mill.,3031457,NA,NA,NA,2936484,238279-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,manually added,https://kns.cnki.net/kcms2/article/abstract?v=m17bUIR54SNeme81x0ud2w4i6faYpSEqkUKhl5ZNs7qEyfPiWBiDNz_U6cz_2CZ8k_yPahFLCLo2eCD1Y22nxwStPFUXpCicAeGhQuYh4dFeH06irW8gEcfcc-f0-xcbhBeRrA9HZkqMIjOkOup34AqmB9-0gdFjKTqFyoa78aB-3AXunntMhmHxNsf8tdhr&uniplatform=NZKPT&language=CHS,35.7843833841868,0,64.2156166158132,12,3
Solanum capsicoides,All.,牛茄子,Solanum capsicoides,茄科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/342,Exact (with author),FALSE,1,0,3031623,Solanum capsicoides,All.,Species,Accepted,NA,330645-2,3031623,0,4,Exact (with author),3031623,330645-2,Species,Accepted,Solanaceae,NA,Solanum,NA,capsicoides,NA,NA,NA,All.,NA,Auct. Syn. Meth. Stirp. Hort. Regii Taur.,: 12,-1773,NA,S. Trop. America,annual or subshrub,wet tropical,Solanum capsicoides,All.,3031623,NA,NA,NA,2936484,330645-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,19,3
Solanum elaeagnifolium,Cav.,银毛龙葵,Solanum elaeagnifolium,茄科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/347,Exact (with author),FALSE,1,0,3031823,Solanum elaeagnifolium,Cav.,Species,Accepted,NA,819099-1,3031823,0,4,Exact (with author),3031823,819099-1,Species,Accepted,Solanaceae,NA,Solanum,NA,elaeagnifolium,NA,NA,NA,Cav.,NA,Icon.,3:22,-1795,NA,"U.S.A. to Mexico, S. South America",annual or perennial,temperate,Solanum elaeagnifolium,Cav.,3031823,NA,NA,NA,2936484,819099-1,NA,N,Matched to an accepted name,clonal,Root turion/Root fragment,belowground,"Zhang et al, 2013",wang et al. 2016,NA,NA,NA,2,3
Plantago virginica,L.,北美车前,Plantago virginica,车前科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/374,Exact (with author),FALSE,1,0,2570708,Plantago virginica,L.,Species,Accepted,NA,685785-1,2570708,0,2,Exact (with author),2570708,685785-1,Species,Accepted,Plantaginaceae,NA,Plantago,NA,virginica,NA,NA,NA,L.,NA,Sp. Pl.,: 113,-1753,NA,SE. Canada to Mexico,annual or biennial,temperate,Plantago virginica,L.,2570708,NA,NA,NA,2556648,685785-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,19,3
Salvia tiliifolia,Vahl,椴叶鼠尾草,Salvia tiliifolia,唇形科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/379,Exact (with author),FALSE,1,0,184015,Salvia tiliifolia,Vahl,Species,Accepted,NA,457397-1,184015,0,4,Exact (with author),184015,457397-1,Species,Accepted,Lamiaceae,NA,Salvia,NA,tiliifolia,NA,NA,NA,Vahl,NA,Symb. Bot.,3:07,-1794,NA,Texas to Peru,annual,seasonally dry tropical,Salvia tiliifolia,Vahl,184015,NA,NA,NA,181875,457397-1,NA,Y,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Hyptis brevipes,Poit.,短柄吊球草,Hyptis brevipes,唇形科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/380,Exact (with author),FALSE,1,0,101636,Hyptis brevipes,Poit.,Species,Accepted,NA,447982-1,101636,0,5,Exact (with author),101636,447982-1,Species,Accepted,Lamiaceae,NA,Hyptis,NA,brevipes,NA,NA,NA,Poit.,NA,Ann. Mus. Hist. Nat.,0.614583333,-1806,NA,C. Mexico to Trop. America,annual or perennial,wet tropical,Hyptis brevipes,Poit.,101636,NA,NA,NA,101560,447982-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,6,3
Hyptis rhomboidea,M. Martens & Galeotti,吊球草,Hyptis rhomboidea,唇形科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/381,Exact (without author),FALSE,1,0,102097,Hyptis rhomboidea,M.Martens & Galeotti,Species,Synonym,NA,448364-1,101657,1,18,Exact (without author),101657,447996-1,Species,Accepted,Lamiaceae,NA,Hyptis,NA,capitata,NA,NA,NA,Jacq.,NA,Collectanea,0.1125,-1787,NA,"Florida, Mexico to Trop. America",annual or perennial,wet tropical,Hyptis capitata,Jacq.,101657,NA,NA,NA,101560,447996-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,7,3
Hyptis suaveolens,(L.) Poit.,山香,Hyptis suaveolens,唇形科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/382,Exact (with author),FALSE,1,0,102170,Hyptis suaveolens,(L.) Poit.,Species,Synonym,TRUE,448418-1,126237,0,10,Exact (with author),126237,158297-2,Species,Accepted,Lamiaceae,NA,Mesosphaerum,NA,suaveolens,NA,NA,L.,Kuntze,NA,Revis. Gen. Pl.,0.447916667,-1891,NA,Mexico to Trop. America,annual,seasonally dry tropical,Mesosphaerum suaveolens,(L.) Kuntze,126237,19686,NA,NA,125966,158297-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,9,3
Macfadyena unguis-cati,(L.) A.H.Gentry,猫爪藤,Macfadyena unguis-cati,紫葳科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/392,Exact (with author),FALSE,1,0,317546,Macfadyena unguis-cati,(L.) A.H.Gentry,Species,Synonym,TRUE,148305-2,320930,0,15,Exact (with author),320930,77100466-1,Species,Accepted,Bignoniaceae,NA,Dolichandra,NA,unguis-cati,NA,NA,L.,L.G.Lohmann,"O.Hokche, P.E.Berry & O.Huber (eds.)",Nuevo Cat. Fl. Vasc. Venezuela,: 273,-2008,NA,Mexico to Trop. America,liana,seasonally dry tropical,Dolichandra unguis-cati,(L.) L.G.Lohmann,320930,320291,NA,NA,320731,77100466-1,NA,Y,Matched to an accepted name,clonal,Tuberous root,belowground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,NA,3
Stachytarpheta jamaicensis,(L.) Vahl,假马鞭,Stachytarpheta jamaicensis,马鞭草科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/394,Exact (with author),FALSE,1,0,195911,Stachytarpheta jamaicensis,(L.) Vahl,Species,Accepted,NA,1092351-2,195911,0,9,Exact (with author),195911,1092351-2,Species,Accepted,Verbenaceae,NA,Stachytarpheta,NA,jamaicensis,NA,NA,L.,Vahl,NA,Enum. Pl. Obs.,0.184722222,-1804,NA,SE. U.S.A. to Trop. America,subshrub,wet tropical,Stachytarpheta jamaicensis,(L.) Vahl,195911,212389,NA,NA,195797,1092351-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,78.89716862699132,13.248353980720305,7.854477392288376,9,3
Crassocephalum rubens,(Jacq.) S. Moore,蓝花野茼蒿,Crassocephalum rubens,菊科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/428,Exact (without author),FALSE,1,0,3084295,Crassocephalum rubens,(Juss. ex Jacq.) S.Moore,Species,Accepted,NA,199518-1,3084295,10,9,Exact (without author),3084295,199518-1,Species,Accepted,Asteraceae,NA,Crassocephalum,NA,rubens,NA,NA,Juss. ex Jacq.,S.Moore,NA,J. Bot.,50: 212,-1912,NA,"Africa, Arabian Pen.",annual,seasonally dry tropical,Crassocephalum rubens,(Juss. ex Jacq.) S.Moore,3084295,3084293,NA,NA,3134213,199518-1,NA,N,Matched to an accepted name,clonal,Adventitious root,belowground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,NA,3
Erigeron philadelphicus,L.,春飞蓬,Erigeron philadelphicus,菊科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/438,Exact (with author),FALSE,1,0,2926485,Erigeron philadelphicus,L.,Species,Accepted,NA,204312-1,2926485,0,2,Exact (with author),2926485,204312-1,Species,Accepted,Asteraceae,NA,Erigeron,NA,philadelphicus,NA,NA,NA,L.,NA,Sp. Pl.,: 863,-1753,NA,Subarctic America to U.S.A.,NA,NA,Erigeron philadelphicus,L.,2926485,NA,NA,NA,3133868,204312-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,6,3
Soliva anthemifolia,(Juss.) R. Br.,裸柱菊,Soliva anthemifolia,菊科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/446,Exact (without author),FALSE,1,0,3106509,Soliva anthemifolia,(Juss.) Sweet,Species,Accepted,NA,941439-1,3106509,6,8,Exact (without author),3106509,941439-1,Species,Accepted,Asteraceae,NA,Soliva,NA,anthemifolia,NA,NA,Juss.,Sweet,NA,Hort. Brit.,: 243,-1826,NA,S. Trop. America,NA,seasonally dry tropical,Soliva anthemifolia,(Juss.) Sweet,3106509,3106505,NA,NA,3133979,941439-1,NA,N,Matched to an accepted name,clonal,Rhizome/Stolon,both,"Xu et al, 2011",wang et al. 2016,NA,NA,NA,15,3
Pluchea sagittalis,(Lam.) Cabrera,翼茎阔苞菊,Pluchea sagittalis,菊科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/454,Exact (with author),FALSE,1,0,3115150,Pluchea sagittalis,(Lam.) Cabrera,Species,Accepted,NA,203916-2,3115150,0,14,Exact (with author),3115150,203916-2,Species,Accepted,Asteraceae,NA,Pluchea,NA,sagittalis,NA,NA,Lam.,Cabrera,NA,Bol. Soc. Argent. Bot.,3:36,-1949,NA,Trinidad to S. Trop. America,NA,NA,Pluchea sagittalis,(Lam.) Cabrera,3115150,3115144,NA,NA,3133831,203916-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,4,3
Coreopsis lanceolata,L.,剑叶金鸡菊,Coreopsis lanceolata,菊科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/462,Exact (with author),FALSE,1,0,3117374,Coreopsis lanceolata,L.,Species,Accepted,NA,319152-2,3117374,0,2,Exact (with author),3117374,319152-2,Species,Accepted,Asteraceae,NA,Coreopsis,NA,lanceolata,NA,NA,NA,L.,NA,Sp. Pl.,: 908,-1753,NA,SE. Canada to C. & E. U.S.A.,perennial,temperate,Coreopsis lanceolata,L.,3117374,NA,NA,NA,3133719,319152-2,NA,N,Matched to an accepted name,clonal,Tiller/Adventitious root,both,"Zeng et al, 2010",wang et al. 2016,NA,NA,NA,21,3
Bidens bipinnata,L.,婆婆针,Bidens bipinnata,菊科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/466,Exact (with author),FALSE,1,0,2922697,Bidens bipinnata,L.,Species,Accepted,NA,184769-1,2922697,0,2,Exact (with author),2922697,184769-1,Species,Accepted,Asteraceae,NA,Bidens,NA,bipinnata,NA,NA,NA,L.,NA,Sp. Pl.,: 832,-1753,NA,E. Canada to C. & E. U.S.A. and Arizona,annual,temperate,Bidens bipinnata,L.,2922697,NA,NA,NA,3013108,184769-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,27,3
